,Confirmed,Deaths,Recovered,Stringency,Testing,index,Country
0,0.0,0.0,0.0,0.0,0.0,01/22/2020,Afghanistan
1,0.0,0.0,0.0,0.0,0.0,01/23/2020,Afghanistan
2,0.0,0.0,0.0,0.0,0.0,01/24/2020,Afghanistan
3,0.0,0.0,0.0,0.0,0.0,01/25/2020,Afghanistan
4,0.0,0.0,0.0,0.0,0.0,01/26/2020,Afghanistan
5,0.0,0.0,0.0,0.0,0.0,01/27/2020,Afghanistan
6,0.0,0.0,0.0,0.0,0.0,01/28/2020,Afghanistan
7,0.0,0.0,0.0,0.0,0.0,01/29/2020,Afghanistan
8,0.0,0.0,0.0,0.0,0.0,01/30/2020,Afghanistan
9,0.0,0.0,0.0,0.0,0.0,01/31/2020,Afghanistan
10,0.0,0.0,0.0,0.0,0.0,02/01/2020,Afghanistan
11,0.0,0.0,0.0,0.0,0.0,02/02/2020,Afghanistan
12,0.0,0.0,0.0,0.0,0.0,02/03/2020,Afghanistan
13,0.0,0.0,0.0,0.0,0.0,02/04/2020,Afghanistan
14,0.0,0.0,0.0,0.0,0.0,02/05/2020,Afghanistan
15,0.0,0.0,0.0,0.0,0.0,02/06/2020,Afghanistan
16,0.0,0.0,0.0,0.0,0.0,02/07/2020,Afghanistan
17,0.0,0.0,0.0,0.0,0.0,02/08/2020,Afghanistan
18,0.0,0.0,0.0,0.0,0.0,02/09/2020,Afghanistan
19,0.0,0.0,0.0,0.0,0.0,02/10/2020,Afghanistan
20,0.0,0.0,0.0,0.0,0.0,02/11/2020,Afghanistan
21,0.0,0.0,0.0,0.0,0.0,02/12/2020,Afghanistan
22,0.0,0.0,0.0,0.0,0.0,02/13/2020,Afghanistan
23,0.0,0.0,0.0,0.0,0.0,02/14/2020,Afghanistan
24,0.0,0.0,0.0,0.0,0.0,02/15/2020,Afghanistan
25,0.0,0.0,0.0,0.0,0.0,02/16/2020,Afghanistan
26,0.0,0.0,0.0,0.0,0.0,02/17/2020,Afghanistan
27,0.0,0.0,0.0,0.0,0.0,02/18/2020,Afghanistan
28,0.0,0.0,0.0,0.0,0.0,02/19/2020,Afghanistan
29,0.0,0.0,0.0,0.0,0.0,02/20/2020,Afghanistan
30,0.0,0.0,0.0,0.0,0.0,02/21/2020,Afghanistan
31,0.0,0.0,0.0,0.0,0.0,02/22/2020,Afghanistan
32,0.0,0.0,0.0,0.0,0.0,02/23/2020,Afghanistan
33,1.0,0.0,0.0,0.0,0.0,02/24/2020,Afghanistan
34,1.0,0.0,0.0,0.0,0.0,02/25/2020,Afghanistan
35,1.0,0.0,0.0,0.0,0.0,02/26/2020,Afghanistan
36,1.0,0.0,0.0,0.0,0.0,02/27/2020,Afghanistan
37,1.0,0.0,0.0,0.0,0.0,02/28/2020,Afghanistan
38,1.0,0.0,0.0,0.0,0.0,02/29/2020,Afghanistan
39,1.0,0.0,0.0,24.0,0.0,03/01/2020,Afghanistan
40,1.0,0.0,0.0,29.0,0.0,03/02/2020,Afghanistan
41,1.0,0.0,0.0,29.0,0.0,03/03/2020,Afghanistan
42,1.0,0.0,0.0,29.0,0.0,03/04/2020,Afghanistan
43,1.0,0.0,0.0,29.0,0.0,03/05/2020,Afghanistan
44,1.0,0.0,0.0,29.0,0.0,03/06/2020,Afghanistan
45,1.0,0.0,0.0,29.0,0.0,03/07/2020,Afghanistan
46,4.0,0.0,0.0,29.0,0.0,03/08/2020,Afghanistan
47,4.0,0.0,0.0,29.0,0.0,03/09/2020,Afghanistan
48,5.0,0.0,0.0,29.0,0.0,03/10/2020,Afghanistan
49,7.0,0.0,0.0,29.0,0.0,03/11/2020,Afghanistan
50,7.0,0.0,0.0,29.0,0.0,03/12/2020,Afghanistan
51,7.0,0.0,0.0,29.0,0.0,03/13/2020,Afghanistan
52,11.0,0.0,0.0,43.0,0.0,03/14/2020,Afghanistan
53,16.0,0.0,0.0,43.0,0.0,03/15/2020,Afghanistan
54,21.0,0.0,1.0,43.0,0.0,03/16/2020,Afghanistan
55,22.0,0.0,1.0,43.0,0.0,03/17/2020,Afghanistan
56,22.0,0.0,1.0,43.0,0.0,03/18/2020,Afghanistan
57,22.0,0.0,1.0,43.0,0.0,03/19/2020,Afghanistan
58,24.0,0.0,1.0,43.0,0.0,03/20/2020,Afghanistan
59,24.0,0.0,1.0,43.0,0.0,03/21/2020,Afghanistan
60,40.0,1.0,1.0,43.0,0.0,03/22/2020,Afghanistan
61,40.0,1.0,1.0,43.0,0.0,03/23/2020,Afghanistan
62,74.0,1.0,1.0,52.0,0.0,03/24/2020,Afghanistan
63,84.0,2.0,2.0,52.0,0.0,03/25/2020,Afghanistan
64,94.0,4.0,2.0,62.0,0.0,03/26/2020,Afghanistan
65,110.0,4.0,2.0,71.0,0.0,03/27/2020,Afghanistan
66,110.0,4.0,2.0,71.0,0.0,03/28/2020,Afghanistan
67,120.0,4.0,2.0,71.0,0.0,03/29/2020,Afghanistan
68,170.0,4.0,2.0,71.0,0.0,03/30/2020,Afghanistan
69,174.0,4.0,5.0,71.0,0.0,03/31/2020,Afghanistan
70,237.0,4.0,5.0,71.0,0.0,04/01/2020,Afghanistan
71,273.0,6.0,10.0,71.0,0.0,04/02/2020,Afghanistan
72,281.0,6.0,10.0,71.0,0.0,04/03/2020,Afghanistan
73,299.0,7.0,10.0,71.0,0.0,04/04/2020,Afghanistan
74,349.0,7.0,15.0,71.0,0.0,04/05/2020,Afghanistan
75,367.0,11.0,18.0,71.0,0.0,04/06/2020,Afghanistan
76,423.0,14.0,18.0,71.0,0.0,04/07/2020,Afghanistan
77,444.0,14.0,29.0,71.0,0.0,04/08/2020,Afghanistan
78,484.0,15.0,32.0,71.0,0.0,04/09/2020,Afghanistan
79,521.0,15.0,32.0,71.0,0.0,04/10/2020,Afghanistan
80,555.0,18.0,32.0,71.0,0.0,04/11/2020,Afghanistan
81,607.0,18.0,32.0,71.0,0.0,04/12/2020,Afghanistan
82,665.0,21.0,32.0,71.0,0.0,04/13/2020,Afghanistan
83,714.0,23.0,40.0,71.0,0.0,04/14/2020,Afghanistan
84,784.0,25.0,43.0,71.0,0.0,04/15/2020,Afghanistan
